sport;substance_reason;sanction_terms;sanction_announced
Cycling;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Cycling;Tamoxifen and its metabolite, Anastrozole, Letrozole, Human Chorionic Gonadotrophin (HCG), and Clomiphene;2-Year Suspension - Loss of Results;10/06/2009
Team Handball;Cannabinoids;2-Year Suspension - Loss of Results;09/07/2009
Cycling;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Cycling;Androgenic Anabolic Steroid;"8-Year Suspension - Loss of Results; Second Violation";06/16/2009
Paralympic Alpine Skiing;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Wrestling;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;05/13/2009
Skiing and Snowboarding;Cannabinoids;3-Month Suspension - Loss of Results;
Swimming;Clenbuterol;1-Year Suspension - Loss of Results;
Paralympic Sled Hockey;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Cycling;Strychnine;2-Year Suspension - Loss of Results;
Track and Field;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;04/16/2009
Rowing;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;04/10/2009
Track and Field;Stanozolol Metabolites;2-Year Suspension - Loss of Results;02/06/2009
Paralympic Track and Field;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;01/29/2009
Swimming;Hydrochlorothiazide and Triamterene;6-Month Suspension;
Track and Field;Boldenone Metabolite;2-Year Suspension - Loss of Results;01/23/2009
Cycling;Non-Analytical: Use (EPO);2-Year Suspension - Loss of Results;12/01/2008
Weightlifting;Non-Analytical: Missed Tests;2-Year Suspension - Loss of Results;
Shooting;Hydrochlorothiazide and Chlorothiazide;6-Month Suspension - Loss of Results;
Cycling;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;
Cycling;19-norandrosterone (19-NA) and Boldenone;2-Year Suspension - Loss of Results;
Track and Field - Athlete Support Personnel;Non-Analytical;Lifetime Suspension;07/15/2008
Weightlifting;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;
Track and Field;Erythropoietin (EPO) and Non-Analytical: Use (EPO & hGH);Lifetime Suspension - Loss of Results;"Original: 11/10/2004; Updated: 06/17/2008"
Track and Field;Testosterone;4-Year Suspension - Loss of Results;
Track and Field;Non-Analytical: Use;2-Year Suspension - Loss of Results;
Table Tennis;Cannabinoids;"2-Year Suspension - Loss of Results; Second Violation";
Weightlifting;Cannabinoids;2-Year Suspension - Loss of Results;
Cycling;Non-Analytical: Refusal to Submit to Sample Collection;"Lifetime Suspension; Third Violation";02/05/2008
Wrestling;Cannabinoids;"2-Year Suspension - Loss of Results; Second Violation";
Cycling;Clomiphene;2-Year Suspension - Loss of Results;
Racquetball;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;
Track and Field;Non-Analytical: Use;2-Year Suspension - Loss of Results;
Wrestling;6a-hydroxyandrostendione;2-Year Suspension;
Cycling;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;
Paralympic Track and Field;Benzoylecgonine;2-Year Suspension - Loss of Results;
Track and Field;Methylprednisolone;3-Month Suspension with 3-Month Deferral - Loss of Results;07/30/2007
Cycling;Non-Analytical Positive;2-Year Suspension - Loss of Results;05/25/2007
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;
Track and Field - Athlete Support Personnel;Non-Analytical;Lifetime Suspension;03/12/2007
Cycling;Androgenic Anabolic Steroid & Human Chorionic Gonadotrophin (HCG);8-Year Suspension - Loss of Results;02/02/2007
Weightlifting;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Track and Field;Finasteride & 6-oxo-androstenedione and its metabolite 6a-hydroxyandrostenehione;8-Year Suspension with 4-Year Reduction - Loss of Results;
Wrestling;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Cycling, Triathlon;Blood Transfusion;2-Year Suspension - Loss of Results;02/11/2006
Cycling;Cathine (Norpseudoephedrine);Public Warning - Loss of Results;10/13/2004
Weightlifting;Elevated T/E;6-Year Suspension - Loss of Results;
Track and Field;Ephedrine;Public Warning - Loss of Results;10/17/2002
Cycling;Phentermine, Boldenone and Nandrolone;1-Year Suspension - Loss of Results;08/30/2002
Track and Field;Amphetamine;2-Year Suspension - Loss of Results - Granted Early Reinstatement;
Cycling;Elevated T/E;1-Year Suspension - Loss of Results;07/18/2002
Table Tennis;19-norandrosterone (19-NA) and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Track and Field;19-norandrosterone (19-NA)and 19-noretiocholanolone;"Lifetime Suspension - Loss of Results; Second Violation";09/17/2001
Gymnastics;Triamcinolone Acetonide;Public Warning - Loss of Results;
Cycling;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Paralympic Track and Field;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Paralympic Track and Field;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Basketball;Salmeterol;Public Warning - Loss of Results;
Gymnastics;Triamcinolone Acetonide;Public Warning - Loss of Results;
Track and Field;Salbutamol;Public Warning - Loss of Results;
Roller Sports;Cannabinoids;6-Month Suspension - Loss of Results;
Paralympic Alpine Skiing;Chlorothiazide & Hydrocholorthiazide;1-Year Suspension - Loss of Results;
Weightlifting;Cannabinoids;3-Month Suspension - Loss of Results;
Track and Field;Hydrochlorothiazide;1-Year Suspension - Loss of Results;
Track and Field;Benzoylecgonine;1-Year Suspension - Loss of Results;
Wrestling;Triamcinolone Acetonide;Public Warning - Loss of Results;
Track and Field;Non-Analytical: Refusal to Submit to Sample Collection;1-Year Suspension - Loss of Results;
Weightlifting;Methylphenidate metabolite Ritalinic Acid;1-Year Suspension - Loss of Results;
Paralympic Alpine Skiing;Non-Analytical: Missed Tests;2-Year Suspension - Loss of Results;
Cycling;Non-Analytical: Missed Tests;2-Year Suspension - Loss of Results;
Track and Field;Hydrochlorothiazide & Triamterene;2-Year Suspension - Loss of Results;
Track and Field;Cannabinoids;"2-Year Suspension - Loss of Results; Second Violation";
Paralympic Basketball;Formestane (4-hydroxyandrostendione);2-Year Suspension - Loss of Results;
Ice Hockey;19-norandrosterone (19-NA) and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Track and Field;Non-Analytical: Use (EPO, Testosterone/epitestosterone cream & THG);8-Year Suspension - Loss of Results;
Track and Field;Non-Analytical: Use (Anabolic Steroids, Insulin, EPO, hGH and Modafinil);4-Year Suspension - Loss of Results;
Track and Field;Tetrahydrogestrinone (THG);4-Year Suspension - Loss of Results;
Team Handball;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;
Swimming;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension;
Paralympic Powerlifting;Boldenone;2-Year Suspension - Loss of Results;
Skiing and Snowboarding;Cannabinoids;1-Year Suspension - Loss of Results;
Rowing;Non-Analytical: Missed Tests;2-Year Suspension;
Cycling;Erythropoietin (EPO);2-Year Suspension;
Cycling;19-norandrosterone (19-NA) and 19-noretiocholanolone;8-Month Suspension - Loss of Results;
Paralympic Track and Field;Pseuedoephedrine;Public Warning - Loss of Results;
Track and Field;Ephedrine;9-Month Suspension with 3 Months Deferral - Loss of Results;
Track and Field;Salbutamol;Public Warning - Loss of Results;
Track and Field;Pseudoephdrine;Public Warning - Loss of Results;
Diving;Ephedrine;2 Month Suspension - Loss of Results;
Karate;Pseudoephedrine;1-Month Suspension - Loss of Results;
Swimming;Boldione;2-Year Suspension - Loss of Results;
Fencing;Pseudoephdrine;3-Month Suspension - Loss of Results;
Track and Field;Cannabinoids;Public Warning - Loss of Results;
Track and Field;Amphetamine;2-Year Suspension - Loss of Results;
Track and Field;Salbutamol;Public Warning - Loss of Results;
Boxing;Furosemide;2-Year Suspension - Loss of Results;
Track and Field;19-norandrosterone (19-NA);2-Year Suspension - Loss of Results;
Track and Field;Pseudoephedrine;Public Warning - Loss of Results;
Track and Field;Methandienone (Dianabol);2-Year Suspension - Loss of Results;
Judo;Non-Analytical: Missed Tests;2-Year Suspension;
Bobsled and Skeleton;Stanozolol;2-Year Suspension - Loss of Results;
Track and Field;Ephedrine;Public Warning - Loss of Results;
Judo;Metabolites of Androstenedione;2-Year Suspension - Loss of Results;
Cycling;Erythropoietin (EPO);2-Year Suspension - Loss of Results;
Cycling;Non-Analytical: Use (Testosterone & EPO);2-Year Suspension with 7-Month Reduction - Loss of Results;
Track and Field;19-norandrosterone (19-NA)and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Cycling;Cannabinoids;Public Warning - Loss of Results;
Swimming;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension;
Cycling;Phentermine;2-Year Suspension - Loss of Results;
Track and Field;Cannabinoids;Public Warning - Loss of Results;
Track and Field;Nikethamide;2-Year Suspension - Loss of Results;
Track and Field;19-norandrosterone and Elevated T/E;2-Year Suspension - Loss of Results;
Paralympic Sled Hockey;Hydrochlorothiazide;1-Year Suspension - Loss of Results;
Karate;Ephedrine;1-Month Suspension - Loss of Results;
Cycling;Elevated T/E;2-Year Suspension - Loss of Results;
Weightlifting;Cannabinoids;"9-Month Suspension with 3-Month Deferral - Loss of Results; Second Violation";
Weightlifting;Pseudoephedrine;3-Month Suspension - Loss of Results;
Cycling;Oxymetholone;2-Year Suspension - Loss of Results;
Roller Sports;Androgenic Anabolic Steroid, 19-Norandrosterone (19-NA), and Human Chorionic Gonadotrophin (hCG);2-Year Suspension - Loss of Results;
Track and Field;Non-Analytical;"2-Year Suspension - Loss of Results; Second Violation";
Track and Field;Modafinil;Public Warning - Loss of Results;
Weightlifting;Elevated T/E;2-Year Suspension - Loss of Results;
Swimming;Cannabinoids;3-Month Suspension - Loss of Results;
Track and Field;Modafinil;Public Warning - Loss of Results;
Weightlifting;Elevated T/E;2-Year Suspension - Loss of Results;
Cycling;Ephedrine;Public Warning - Loss of Results;
Track and Field;19-Norandrosterone (19-NA);2-Year Suspension - Loss of Results;
Track and Field;Ephedrine;Public Warning - Loss of Results;
Cycling;Clenbuterol;3-Month Suspension - Loss of Results;
Archery;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;
Track and Field;Pseudoephdrine;Public Warning - Loss of Results;
Cycling;Ephedrine;1-Month Suspension - Loss of Results;
Track and Field;Amphetamine;1-Year Suspension - Loss of Results;
Track and Field;Modafinil;2-Year Suspension - Loss of Results;
Judo;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;
Weightlifting;Stanozolol Metabolites;2-Year Suspension - Loss of Results;
Track and Field;Erythropoietin (EPO);2-Year Suspension - Sanction Modified to Include Loss of Results;
Track and Field;Methandienone (Dianabol);2-Year Suspension - Loss of Results;
Paralympic Basketball;19-norandrosterone (19-NA) and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Synchronized Swimming;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension;
Cycling;Cannabinoids;1-Year Suspension - Loss of Results;
Track and Field;Ephedrine;Public Warning - Loss of Results;
Figure Skating;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;
Fencing;Amphetamine;1-Year Suspension - Loss of Results;
Cycling;Erythropoietin (EPO);"2-Year Suspension - Loss of Results; Second Violation";
Cycling;Non-Analytical: Failure to Appear to Sample Collection;Public Warning;
Track and Field;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Track and Field;Elevated T/E;2-Year Suspension - Loss of Results;
Bobsled and Skeleton;19-norandrosterone (19-NA) and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Bobsled and Skeleton;Methandienone;2-Year Suspension - Loss of Results;
Cycling;Cannabinoids;1-Year Suspension - Loss of Results;
Wrestling;Metoprolol;3-Month Suspension with 3-Month Deferral - Loss of Results;
Bobsled and Skeleton and Track and Field;Non-Analytical: Manipulation of Forms & Stanozolol;2-Year Suspension - Loss of Results;
Paralympic Archery;Metoprolol;Public Warning - Loss of Results;
Boxing;Ephedrine;Public Warning - Loss of Results;
Swimming;Pseuedoephedrine;Public Warning - Loss of Results;
Taekwondo;L-Methamphetamine;3-Month Suspension with 3-Month Deferral - Loss of Results;
Bobsled and Skeleton;Finasteride;1-Year Suspension - Loss of Results;
Softball;19-norandrosterone and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Curling;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;
Weightlifting;Ephedrine;6-Month Suspension - Loss of Results;
Track and Field;Tetrahydrogestrinone (THG) and Modafinil;2-Year Suspension - Loss of Results;
Softball;Androstenedione;2-Year Suspension - Loss of Results;
Cycling;Non-Analytical: Failure to Appear to Sample Collection;3-Month Suspension;
Skiing and Snowboarding;Pseudoephdrine;3-Month Suspension - Loss of Results;
Bobsled and Skeleton;Elevated T/E;2-Year Suspension - Loss of Results;
Cycling;19-norandrosterone;1-Year Suspension - Loss of Results;
Track and Field;Non-Analytical;2-Year Suspension - Loss of Results;
Track and Field;Tetrahydrogestrinone (THG);2-Year Suspension - Loss of Results;
Cycling;19-norandrosterone (19-NA);6-Month Suspension - Loss of Results;
Skiing and Snowboarding;Methylphenidate;2-Year Suspension - Loss of Results;
Bobsled and Skeleton;Elevated T/E;2-Year Suspension - Loss of Results;
Boxing;19-norandrosterone (19-NA) and 19-noretiocholanolone;18-Month Suspension - Loss of Results;
Wrestling;Testosterone, Methandienone (Dianabol) and Stanzolol;2-Year Suspension - Loss of Results;
Track and Field;Modafinil;Public Warning - Loss of Results;
Swimming;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension - Loss of Results;
Sailing;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension;
Cycling;19-norandrosterone and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Skiing and Snowboarding;Cannabinoids;10-Month Suspension with 7-Month Reduction - Loss of Results;
Weightlifting;Hydrochlorothiazide;2-Year Suspension - Loss of Results;
Cycling;Phentermine;2-Year Suspension - Loss of Results;
Paralympic Track and Field;Ephedrine;2 Month Suspension - Loss of Results;
Swimming;Pseuedoephedrine;Public Warning - Loss of Results;
Track and Field;Cannabinoids;Public Warning - Loss of Results;
Cycling;Non-Analytical: Failure to Appear to Sample Collection;1-Year Suspension - Loss of Results;
Wrestling;Phentermine;2-Year Suspension - Loss of Results;
Paralympic Sled Hockey;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;
Weightlifting;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Cycling;Erythropoietin (EPO);2-Year Suspension - Loss of Results;
Cycling;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;
Track and Field;Ephedrine;Public Warning - Loss of Results;
Track and Field;Amphetamine;2-Year Suspension - Loss of Results - Granted Early Reinstatement;
Bobsled and Skeleton;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension;
Swimming;Ephedrine;2 Month Suspension - Loss of Results;
Track and Field;Androstendione;2-Year Suspension - Loss of Results;
Baseball;19-norandrosterone (19-NA) and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Track and Field;Ephedrine;Public Warning - Loss of Results;
Taekwondo;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Cycling;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Speedskating;Pseuedoephedrine;Public warning - Loss of Results;
Cycling;Androgenic Anabolic Steroid and Erythropoietin (EPO);2-Year Suspension - Loss of Results;
Track and Field;Modafinil;Public Warning - Loss of Results;
Fencing;L-methamphetamine;Public Warning - Loss of Results;
Track and Field;Tetrahydrogestrinone (THG) and Modafinil;2-Year Suspension - Loss of Results;
Baseball;19-norandrosterone (19-NA) and 19-noretiocholanolone;2-Year Suspension - Loss of Results;
Cycling;Pseudoephedrine;Public Warning - Loss of Results;
Boxing;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension;
Swimming;19-norandrosterone;2-Year Suspension - Loss of Results;
Track and Field;19-Norandrosterone (19-NA);2-Year Suspension - Loss of Results;
Track and Field;Amphetamine & Methamphetamine;2-Year Suspension - Loss of Results;
Track and Field;Methylphenidate;2-Year Suspension - Loss of Results;
Swimming;Methylphenidate;2-Year Suspension - Loss of Results;
Track and Field;Modafinil and Non-Analytical: Use (EPO, Anabolic Steroids);2-Year Suspension - Loss of Results;
Track and Field;Methylphenidate;10-Month Suspension - Loss of Results;
Track and Field;Cannabinoids;Public Warning - Loss of Results;
Boxing;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;
Fencing;Pseudoephdrine;3-Month Suspension - Loss of Results;
Track and Field;Erythropoietin (EPO);2-Year Suspension - Loss of Results;
Skiing and Snowboarding;Cannabinoids;2-Year Suspension - Loss of Results;
